Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR enriched P-value,Bonferroni enriched P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0001709,7/49164 (0.0142%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001710,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001711,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001712,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001714,17/49164 (0.0346%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001715,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001717,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001731,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001732,13/49164 (0.0264%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001736,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001738,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001755,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001764,41/49164 (0.0834%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001778,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001782,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001820,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001836,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001845,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001881,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001932,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001933,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001934,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001956,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001963,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001966,8/49164 (0.0163%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001973,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002009,20/49164 (0.0407%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002011,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002028,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002031,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002064,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002082,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002092,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002098,16/49164 (0.0325%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002100,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002101,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002115,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002119,211/49164 (0.4292%),4/32 (12.5%),29.125592417061608,1.0790273457668649e-05,0.002479065326899372,0.03966504523038995,4.8642154894942715,4.966967548861887,2.605712028803738,1.401592046147813
GO:0002128,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002130,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002143,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002164,11/49164 (0.0224%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002181,29/49164 (0.059%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002182,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002183,19/49164 (0.0386%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002184,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002188,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002191,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002218,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002225,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002230,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002253,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002376,27/49164 (0.0549%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002495,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002785,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002791,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002804,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002821,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002926,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002939,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002940,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002943,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0002949,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003002,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003006,8/49164 (0.0163%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003008,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003009,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003031,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003032,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003333,22/49164 (0.0447%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003384,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003386,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003387,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003388,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003391,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003398,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0003400,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
