Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR depleted P-value,Bonferroni depleted P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0016595,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016597,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016603,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016614,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0016615,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016616,35/49164 (0.07119%),0/32 (0%),0.0,0.9774616704678607,1.0,1.0,-1000.0,0.00990026373329898,-0.0,-0.0
GO:0016620,19/49164 (0.03865%),0/32 (0%),0.0,0.9877031668795839,1.0,1.0,-1000.0,0.0053735537477229275,-0.0,-0.0
GO:0016624,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0016627,32/49164 (0.06509%),0/32 (0%),0.0,0.979374081942163,1.0,1.0,-1000.0,0.00905139329149755,-0.0,-0.0
GO:0016628,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0016638,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016639,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0016651,7/49164 (0.01424%),0/32 (0%),0.0,0.9954524306930554,1.0,1.0,-1000.0,0.0019794886060544173,-0.0,-0.0
GO:0016653,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016667,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016671,10/49164 (0.02034%),0/32 (0%),0.0,0.9935096111764519,1.0,1.0,-1000.0,0.002827927184555954,-0.0,-0.0
GO:0016684,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016701,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0016702,5/49164 (0.01017%),0/32 (0%),0.0,0.9967496878745767,1.0,1.0,-1000.0,0.001413891661926328,-0.0,-0.0
GO:0016705,86/49164 (0.1749%),0/32 (0%),0.0,0.9454988393290114,1.0,1.0,-1000.0,0.024338999947778148,-0.0,-0.0
GO:0016706,5/49164 (0.01017%),0/32 (0%),0.0,0.9967496878745767,1.0,1.0,-1000.0,0.001413891661926328,-0.0,-0.0
GO:0016709,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0016712,41/49164 (0.08339%),0/32 (0%),0.0,0.9736476944889038,1.0,1.0,-1000.0,0.01159816018266299,-0.0,-0.0
GO:0016714,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0016715,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0016717,6/49164 (0.0122%),0/32 (0%),0.0,0.9961008547003465,1.0,1.0,-1000.0,0.0016966872566592096,-0.0,-0.0
GO:0016740,1144/49164 (2.327%),6/32 (18.75%),8.057910839160838,0.9999926614359683,1.0,1.0,3.0104058421442237,3.187109558469567e-06,-0.0,-0.0
GO:0016741,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016743,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016746,126/49164 (0.2563%),0/32 (0%),0.0,0.9211407492321654,1.0,1.0,-1000.0,0.03567400504247145,-0.0,-0.0
GO:0016747,94/49164 (0.1912%),0/32 (0%),0.0,0.9405778312448013,1.0,1.0,-1000.0,0.026605261483531074,-0.0,-0.0
GO:0016756,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016757,287/49164 (0.5838%),5/32 (15.62%),26.766114982578397,0.9999999700418861,1.0,1.0,4.742335846413131,1.3010643740555172e-08,-0.0,-0.0
GO:0016758,29/49164 (0.05899%),0/32 (0%),0.0,0.9812901179165348,1.0,1.0,-1000.0,0.00820257469650395,-0.0,-0.0
GO:0016765,8/49164 (0.01627%),0/32 (0%),0.0,0.9948044156029935,1.0,1.0,-1000.0,0.0022622957103461015,-0.0,-0.0
GO:0016772,10/49164 (0.02034%),0/32 (0%),0.0,0.9935096111764519,1.0,1.0,-1000.0,0.002827927184555954,-0.0,-0.0
GO:0016773,11/49164 (0.02237%),0/32 (0%),0.0,0.9928628213412879,1.0,1.0,-1000.0,0.003110751554942621,-0.0,-0.0
GO:0016776,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0016779,57/49164 (0.1159%),0/32 (0%),0.0,0.9635474392446192,1.0,1.0,-1000.0,0.01612689845016631,-0.0,-0.0
GO:0016780,13/49164 (0.02644%),0/32 (0%),0.0,0.9915704651815663,1.0,1.0,-1000.0,0.0036764175634506273,-0.0,-0.0
GO:0016782,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016783,12/49164 (0.02441%),0/32 (0%),0.0,0.9922164394259843,1.0,1.0,-1000.0,0.003393581681162738,-0.0,-0.0
