Feature name,Standard gene name,mRNA half-life
YBR084W,MIS1,11.0
YBR089W,-,11.0
YBR106W,PHO88,15.0
YBR118W,TEF2,20.0
YBR121C,GRS1,15.0
YBR142W,MAK5,13.0
YBR143C,SUP45,12.0
YBR154C,RPB5,13.0
YBR155W,CNS1,9.0
YBR181C,RPS6B,14.0
YBR189W,RPS9B,12.0
YBR191W,RPL21A,12.0
YBR238C,-,12.0
YBR246W,RRT2,18.0
YBR247C,ENP1,10.0
YBR249C,ARO4,13.0
YBR252W,DUT1,13.0
YBR267W,REI1,9.0
YBR283C,SSH1,19.0
YCL059C,KRR1,12.0
YCL054W,SPB1,20.0
YCL045C,EMC1,31.0
YCL037C,SRO9,15.0
YCL031C,RRP7,29.0
YCR016W,-,12.0
YCR031C,RPS14A,18.0
YCR034W,ELO2,14.0
YCR035C,RRP43,20.0
YCR053W,THR4,34.0
YCR057C,PWP2,15.0
YCR072C,RSA4,14.0
YDL201W,TRM8,10.0
YDL191W,RPL35A,14.0
YDL167C,NRP1,11.0
YDL153C,SAS10,10.0
YDL150W,RPC53,10.0
YDL143W,CCT4,17.0
YDL136W,RPL35B,14.0
YDL111C,RRP42,19.0
YDL084W,SUB2,19.0
YDL083C,RPS16B,11.0
YDL082W,RPL13A,12.0
YDL081C,RPP1A,15.0
YDL075W,RPL31A,16.0
YDL062W,-,23.0
YDL063C,SYO1,12.0
YDL061C,RPS29B,15.0
YDL060W,TSR1,8.0
YDL051W,LHP1,11.0
YDL050C,-,11.0
YDL031W,DBP10,13.0
YDR012W,RPL4B,14.8
YDR023W,SES1,13.0
YDR025W,RPS11A,12.3
YDR037W,KRS1,16.0
YDR064W,RPS13,12.0
YDR083W,RRP8,10.0
YDR087C,RRP1,10.0
YDR091C,RLI1,13.0
YDR097C,MSH6,11.0
YDR101C,ARX1,9.0
YDR120C,TRM1,9.0
YDR152W,GIR2,23.0
YDR161W,ACL4,11.0
YDR165W,TRM82,11.0
YDR172W,SUP35,17.0
YDR184C,ATC1,19.0
YDR190C,RVB1,16.0
YDR211W,GCD6,15.0
YDR233C,RTN1,11.0
YDR280W,RRP45,12.0
YDR300C,PRO1,14.0
YDR312W,SSF2,12.0
YDR321W,ASP1,10.0
YDR324C,UTP4,10.0
YDR339C,FCF1,15.0
YDR341C,-,11.0
YDR346C,SVF1,13.0
YDR361C,BCP1,9.0
YDR365C,ESF1,10.0
YDR382W,RPP2B,16.0
YDR385W,EFT2,13.0
YDR398W,UTP5,11.0
YDR412W,RRP17,11.0
YDR418W,RPL12B,11.0
YDR429C,TIF35,14.0
YDR440W,DOT1,9.0
YDR447C,RPS17B,15.0
YDR449C,UTP6,15.0
YDR450W,RPS18A,13.0
YDR454C,GUK1,19.0
YDR465C,RMT2,10.0
YDR471W,RPL27B,10.0
YDR496C,PUF6,12.0
YDR500C,RPL37B,18.0
YEL054C,RPL12A,12.0
YEL042W,GDA1,10.0
YEL040W,UTR2,12.0
YEL026W,SNU13,15.0
YER006W,NUG1,13.0
YER009W,NTF2,19.0
YER025W,GCD11,12.0
YER036C,ARB1,14.0
YER043C,SAH1,14.0
YER049W,TPA1,12.0
YER070W,RNR1,8.0
YER074W,RPS24A,14.0
YER082C,UTP7,15.0
YER102W,RPS8B,11.0
YER110C,KAP123,13.0
YER117W,RPL23B,14.0
YER118C,SHO1,11.0
YER126C,NSA2,10.0
YER127W,LCP5,9.0
YER131W,RPS26B,8.0
YER165W,PAB1,14.0
YFL045C,SEC53,13.0
YFL023W,BUD27,12.0
YFL022C,FRS2,14.0
YFL002C,SPB4,12.0
YFR001W,LOC1,11.0
YGL225W,VRG4,14.0
YGL213C,SKI8,14.0
YGL189C,RPS26A,14.0
YGL171W,ROK1,9.0
YGL169W,SUA5,14.0
YGL148W,ARO2,11.0
YGL147C,RPL9A,11.0
YGL135W,RPL1B,16.0
YGL123W,RPS2,12.0
YGL120C,PRP43,11.0
YGL111W,NSA1,13.0
YGL103W,RPL28,15.0
YGL099W,LSG1,11.0
YGL097W,SRM1,12.0
YGL078C,DBP3,9.0
YGL076C,RPL7A,14.0
YGL070C,RPB9,20.0
YGL031C,RPL24A,11.0
YGL030W,RPL30,15.0
YGL029W,CGR1,10.0
YGL008C,PMA1,17.0
YGR027C,RPS25A,17.0
YGR034W,RPL26B,14.0
YGR054W,-,15.0
YGR078C,PAC10,11.0
YGR081C,SLX9,11.0
YGR083C,GCD2,14.0
YGR085C,RPL11B,12.5
YGR094W,VAS1,12.0
YGR103W,NOP7,9.0
YGR118W,RPS23A,11.5
YGR123C,PPT1,10.0
YGR124W,ASN2,13.0
YGR128C,UTP8,8.0
YGR145W,ENP2,8.0
YGR148C,RPL24B,13.0
YGR151C,-,13.5
YGR152C,RSR1,12.0
YGR158C,MTR3,16.0
YGR162W,TIF4631,12.0
YGR173W,RBG2,15.0
YGR185C,TYS1,26.0
YGR187C,HGH1,8.0
YGR195W,SKI6,16.0
YGR200C,ELP2,10.0
YGR214W,RPS0A,11.5
YGR228W,-,14.0
YGR229C,SMI1,13.0
YGR245C,SDA1,9.0
YGR251W,NOP19,10.0
YGR264C,MES1,16.0
YGR280C,PXR1,8.0
YGR283C,-,12.0
YGR285C,ZUO1,21.0
YHL039W,EFM1,12.0
YHL033C,RPL8A,15.0
YHL013C,OTU2,10.0
YHL011C,PRS3,13.0
YHL001W,RPL14B,14.0
YHR010W,RPL27A,15.0
YHR013C,ARD1,9.0
YHR019C,DED81,15.0
