Feature name,Standard gene name,Transcriptional plasticity
YDR184C,ATC1,0.532006025
YDR190C,RVB1,0.268337318
YDR211W,GCD6,0.288568054
YDR233C,RTN1,0.302685885
YDR280W,RRP45,0.244459703
YDR300C,PRO1,0.400218374
YDR312W,SSF2,0.520451812
YDR321W,ASP1,0.671945654
YDR324C,UTP4,0.644513876
YDR339C,FCF1,0.254563531
YDR341C,-,0.529832092
YDR346C,SVF1,0.278855719
YDR361C,BCP1,0.490346319
YDR365C,ESF1,0.64071862
YDR382W,RPP2B,0.822014425
YDR385W,EFT2,0.63644883
YDR398W,UTP5,0.890135036
YDR412W,RRP17,0.463456044
YDR413C,-,0.449218314
YDR418W,RPL12B,1.030868778
YDR417C,-,0.668440014
YDR429C,TIF35,0.480174341
YDR440W,DOT1,0.160572118
YDR447C,RPS17B,0.844969949
YDR449C,UTP6,0.668439125
YDR450W,RPS18A,0.775149948
YDR454C,GUK1,0.374728506
YDR465C,RMT2,0.716205758
YDR471W,RPL27B,0.977276819
YDR496C,PUF6,0.919618951
YDR500C,RPL37B,0.581168738
YEL054C,RPL12A,1.219996228
YEL042W,GDA1,0.390422134
YEL040W,UTR2,0.999875415
YEL026W,SNU13,0.822240354
YER006W,NUG1,0.823314607
YER009W,NTF2,0.319366217
YER025W,GCD11,0.442559877
YER036C,ARB1,0.512811368
YER043C,SAH1,0.727517825
YER049W,TPA1,0.553234953
YER056C-A,RPL34A,0.804507169
YER070W,RNR1,0.830291373
YER074W,RPS24A,0.982202079
YER082C,UTP7,0.374740734
YER102W,RPS8B,1.026251083
YER110C,KAP123,0.810506915
YER117W,RPL23B,1.047218991
YER118C,SHO1,0.299472926
YER126C,NSA2,0.724068321
YER127W,LCP5,0.560847701
YER131W,RPS26B,1.133034608
YER165W,PAB1,0.472074104
YFL045C,SEC53,0.473069972
YFL023W,BUD27,0.455219646
YFL022C,FRS2,0.361298181
YFL002C,SPB4,0.344940412
YFR001W,LOC1,0.48038545
YFR031C-A,RPL2A,1.085377961
YGL225W,VRG4,0.363589616
YGL213C,SKI8,0.198917721
YGL189C,RPS26A,1.09262406
YGL171W,ROK1,0.858630394
YGL169W,SUA5,0.30610009
YGL148W,ARO2,0.486228352
YGL147C,RPL9A,1.053367239
YGL135W,RPL1B,0.846744839
YGL123W,RPS2,1.052835797
YGL120C,PRP43,0.813249131
YGL111W,NSA1,0.472482857
YGL103W,RPL28,0.667399886
YGL102C,-,0.615186379
YGL099W,LSG1,0.439111579
YGL097W,SRM1,0.270434218
YGL078C,DBP3,1.130630746
YGL076C,RPL7A,0.88890804
YGL070C,RPB9,0.203701213
YGL031C,RPL24A,0.978351552
YGL030W,RPL30,0.668830876
YGL029W,CGR1,0.869411792
YGL008C,PMA1,0.701153247
YGR027C,RPS25A,0.597814518
YGR034W,RPL26B,0.755851823
YGR054W,-,0.269009089
YGR078C,PAC10,0.346684097
YGR081C,SLX9,0.289068011
YGR083C,GCD2,0.301459728
YGR085C,RPL11B,0.682673293
YGR094W,VAS1,0.501394377
YGR103W,NOP7,1.284180662
YGR118W,RPS23A,0.626089256
YGR123C,PPT1,0.63758247
YGR124W,ASN2,0.474905725
YGR128C,UTP8,0.617190284
YGR145W,ENP2,0.92260625
YGR148C,RPL24B,0.914325191
YGR151C,-,0.385861607
YGR152C,RSR1,0.340319203
YGR158C,MTR3,0.26328445
YGR160W,-,1.391152204
YGR162W,TIF4631,0.518868134
YGR173W,RBG2,0.384894006
YGR185C,TYS1,0.565634868
YGR187C,HGH1,0.564158203
YGR195W,SKI6,0.187053529
YGR200C,ELP2,0.468112239
YGR214W,RPS0A,0.978577742
YGR228W,-,0.309515214
YGR229C,SMI1,0.315815846
YGR245C,SDA1,0.987091199
YGR251W,NOP19,0.376197827
YGR265W,-,0.439337052
YGR264C,MES1,0.69354498
YGR280C,PXR1,0.80095213
YGR283C,-,0.488935124
YGR285C,ZUO1,0.61583391
YHL039W,EFM1,0.294431099
YHL033C,RPL8A,0.925084234
YHL013C,OTU2,0.255209945
YHL011C,PRS3,0.473843855
YHL001W,RPL14B,0.767131047
YHR010W,RPL27A,0.877430215
YHR013C,ARD1,0.239250673
YHR019C,DED81,0.536755275
YHR020W,-,0.639100478
YHR021C,RPS27B,0.584311645
YHR025W,THR1,0.475980659
YHR026W,VMA16,0.223983036
YHR042W,NCP1,0.553485309
YHR052W,CIC1,0.775782113
YHR064C,SSZ1,0.572598721
YHR065C,RRP3,0.512793073
YHR066W,SSF1,0.66029395
YHR068W,DYS1,0.479349103
YHR088W,RPF1,0.627054081
YHR089C,GAR1,1.202474754
YHR128W,FUR1,0.745569184
YHR133C,NSG1,0.241758963
YHR141C,RPL42B,0.609720522
YHR143W-A,RPC10,0.386360527
YHR144C,DCD1,0.225727009
YHR148W,IMP3,0.484731561
YHR169W,DBP8,0.582620311
YHR170W,NMD3,0.909617629
YHR193C,EGD2,0.383244737
YHR196W,UTP9,0.752573361
YHR197W,RIX1,0.689897682
YHR203C,RPS4B,0.932470501
YHR216W,IMD2,0.647720277
YIL148W,RPL40A,0.497013782
YIL133C,RPL16A,1.019426155
YIL127C,RRT14,0.63429379
YIL110W,HPM1,0.354350736
YIL104C,SHQ1,0.283040615
YIL096C,BMT5,0.436564777
YIL079C,AIR1,0.483391512
YIL078W,THS1,0.676107128
YIL052C,RPL34B,0.821068823
YIL021W,RPB3,0.211422379
YIL020C,HIS6,0.240340813
YIL019W,FAF1,0.663268895
YIL018W,RPL2B,0.980751075
YIR012W,SQT1,0.523715541
YIR026C,YVH1,0.616524242
